"Bug ID","Type","Summary","Product","Component","Assignee","Status","Resolution","Updated","Alias","Blocks","Classification","Depends on","Flags","Hardware","Keywords","Last Visit","Number of Comments","Opened","OS","Priority","Reporter","Reporter Real Name","Severity","Summary","Version","Votes","Whiteboard"
54787,"defect","Can't set Page Title in Page Properties dialog","Core","DOM: Editor","brade","CLOSED","DUPLICATE","2001-09-12 00:43:03",,,"Components",,,"All",,,7,"2000-09-29 18:43:49","Windows NT","P1","cmanske","Charles Manske","critical","Can't set Page Title in Page Properties dialog","Trunk",0,
96284,"defect","uneval(), Error.prototype.toSource() does not escape quotes correctly","Core","JavaScript Engine","brendan","CLOSED","FIXED","2011-08-05 21:35:32",,,"Components",,"in-testsuite+","All","js1.5",,30,"2001-08-21 12:13:28","All","P1","ajvincent","Alex Vincent [:WeirdAl]","normal","uneval(), Error.prototype.toSource() does not escape quotes correctly","Trunk",0,
6278,"defect","(feature) List properties needs to be implemented","Core","DOM: Editor","cmanske","CLOSED","FIXED","2001-09-12 00:43:03",,"10770, 16654","Components",,,"All",,,16,"1999-05-11 13:54:18","All","P1","sujay",,"normal","(feature) List properties needs to be implemented","Trunk",0,
177326,"defect","Mozilla rapidly repeats requests multiple times","Core","Networking: HTTP","darin.moz","CLOSED","FIXED","2002-11-08 01:14:14",,181536,"Components",,,"x86","topembed",,29,"2002-10-29 10:40:09","Linux","P1","sharding","Sean Harding","critical","Mozilla rapidly repeats requests multiple times","Trunk",0,
2544,"defect","[IME]Chinese character composition not work with Korean input","Core","Internationalization","ftang","CLOSED","FIXED","2010-06-18 19:00:07",,16127,"Components",8205,,"x86","inputmethod",,13,"1999-01-21 13:31:54","Windows NT","P1","paulmac","Paul MacQuiddy","critical","[IME]Chinese character composition not work with Korean input","Trunk",0,
1376,"defect","Can't build the network library","Core","Networking","gagan","CLOSED","WORKSFORME","1999-12-13 16:33:50",,,"Components",,,"x86",,,7,"1998-11-13 05:17:37","Windows NT","P1","jacquot",,"critical","Can't build the network library","Trunk",0,
33537,"defect","[CRASH] Loading slashdot causes a crash.","Core","Networking","gagan","CLOSED","WORKSFORME","2000-04-24 18:15:54",,,"Components",,,"x86","crash",,11,"2000-03-27 18:00:04","Linux","P1","jce2","Jason Eager","critical","[CRASH] Loading slashdot causes a crash.","Trunk",1,"0d"
41329,"defect","(netcenter)netscape home page missing left column","Core","Networking","gagan","CLOSED","INVALID","2003-08-05 06:57:21",,,"Components",,,"x86","top100",,12,"2000-06-02 13:32:18","Windows NT","P1","buster",,"critical","(netcenter)netscape home page missing left column","Trunk",0,"[nsbeta2+]"
21328,"defect","[DOGFOOD] Enable network cache by default","Core","Networking: Cache","gordon","CLOSED","FIXED","2000-01-25 18:01:50",,,"Components",21660,,"All",,,17,"1999-12-09 14:41:58","All","P1","fur","Scott Furman","normal","[DOGFOOD] Enable network cache by default","Trunk",0,"[PDT-]"
1486,"defect","his frameset page doesn't show all content; resizes strangely","Core","Layout: Images, Video, and HTML Frames","karnaze","CLOSED","INVALID","2018-08-29 15:22:03",,,"Components",,,"x86",,,7,"1998-11-21 17:06:33","Other","P1","angus","Angus Davis","normal","his frameset page doesn't show all content; resizes strangely","Trunk",0,
47520,"defect","Auto translate feature ""View Original"" shows a blank page","Core","JavaScript Engine","nhottanscp","CLOSED","FIXED","2002-01-18 00:39:55",,,"Components",,,"All",,,20,"2000-08-03 13:44:24","All","P1","rspain","Rob Spain","major","Auto translate feature ""View Original"" shows a blank page","Trunk",0,"[nsbeta2-] [nsbeta3+]"
3413,"defect","Trailing slash","Core","JavaScript Engine","nisheeth_mozilla","CLOSED","FIXED","2002-01-18 00:39:55",,,"Components",,,"x86",,,28,"1999-03-04 08:45:14","Other","P1","fornixon",,"major","Trailing slash","Trunk",0,
24711,"defect","HTTP needs to arbitrarily retrieve data","Core","Networking","rpotts","CLOSED","FIXED","2024-04-15 02:08:09",,21556,"Components",,,"x86","crash",,12,"2000-01-21 15:19:54","Windows NT","P1","jud","Judson Valeski","normal","HTTP needs to arbitrarily retrieve data","Trunk",0,"[PDT+] 2/28/00 (will check in tonight)"
12704,"defect","[PP]Mac KeyPress handler returns wrong char codes for alt events","Core","DOM: UI Events & Focus Handling","saari","CLOSED","INVALID","2024-03-18 11:31:26",,15156,"Components",,,"PowerPC",,,4,"1999-08-27 16:13:24","Mac System 8.0","P1","akkzilla","Akkana Peck","normal","[PP]Mac KeyPress handler returns wrong char codes for alt events","Trunk",0,
22940,"defect","[dogfood][blocker]no menubar in optimized build","Core","XUL","sdagley","CLOSED","INVALID","2000-01-03 15:33:10",,,"Components",,,"PowerPC",,,7,"2000-01-03 13:08:56","Mac System 8.5","P1","brade","Kathleen :Brade","normal","[dogfood][blocker]no menubar in optimized build","Trunk",0,
23774,"defect","Browser crashes with Invalid Pointer Read in GetParentContentListener","Core","Networking","travis","CLOSED","WORKSFORME","2000-02-03 16:36:13",,,"Components",,,"x86","crash",,8,"2000-01-12 14:24:32","Other","P1","kinmoz",,"critical","Browser crashes with Invalid Pointer Read in GetParentContentListener","Trunk",0,
2365,"defect","[PP] URL does not load","Core","Layout","troy","CLOSED","DUPLICATE","2006-06-03 03:30:31",,,"Components",,,"x86",,,4,"1999-01-14 12:43:56","Windows 98","P1","christinehoff4","Christine Hoffman","major","[PP] URL does not load","Trunk",0,
2801,"enhancement","HTML2 ""LINK"" element not supported","Core","Layout","troy","CLOSED","DUPLICATE","1999-04-21 11:23:32",,,"Components",,,"Other",,,2,"1999-01-29 19:15:49","Windows 98","P1","ian","Hixie (not reading bugmail)","normal","HTML2 ""LINK"" element not supported","Trunk",0,
1146,"defect","the DOM memory leak is enourmous...","Core","DOM: Core & HTML","vidur","CLOSED","INVALID","2019-03-13 06:42:05",,,"Components",,,"x86",,,11,"1998-10-19 07:01:36","Windows NT","P1","jty",,"major","the DOM memory leak is enourmous...","Trunk",0,"4/9: Requested reporter to verify"
1015,"defect","navigator.mimeTypes not implemented","Core","DOM: Core & HTML","beard","CLOSED","DUPLICATE","1999-04-21 11:23:17",,,"Components",,,"All",,,8,"1998-10-06 09:52:00","All","P2","michaelp",,"normal","navigator.mimeTypes not implemented","Trunk",0,
1636,"defect","ss: ftp pages are displayed with improper formatting, no breaks","Core","Layout","buster","CLOSED","INVALID","2000-03-08 14:35:57",,,"Components",,,"PowerPC",,,4,"1998-11-25 10:23:17","Windows NT","P2","glynn",,"major","ss: ftp pages are displayed with improper formatting, no breaks","Trunk",0,
1713,"defect","hr's don't float correctly.","Core","Layout","buster","CLOSED","FIXED","2000-03-08 14:35:57",,,"Components",,,"All",,,1,"1998-12-01 14:56:06","Other","P2","michaelp",,"normal","hr's don't float correctly.","Trunk",0,
1977,"defect","Block frame doesn't clip when height is set smaller","Core","Layout: Images, Video, and HTML Frames","buster","CLOSED","INVALID","2018-08-29 15:22:03",,,"Components",,,"x86",,,3,"1998-12-18 08:41:52","Windows NT","P2","rods","rods (gone)","normal","Block frame doesn't clip when height is set smaller","Trunk",0,
2798,"defect","warnings: hiding inherited virtual functions","Core","Layout","buster","CLOSED","FIXED","2000-03-08 14:35:57",,,"Components",,,"x86",,,4,"1999-01-29 17:36:08","Windows NT","P2","troy",,"normal","warnings: hiding inherited virtual functions","Trunk",0,
3360,"defect","Attribute selector not working properly","Core","CSS Parsing and Computation","christinehoff4","CLOSED","INVALID","1999-04-21 11:23:36",,,"Components",,,"All",,,2,"1999-03-01 20:07:43","All","P2","christinehoff4","Christine Hoffman","normal","Attribute selector not working properly","Trunk",0,
125279,"defect","1MB churned by parser","Core","DOM: HTML Parser","dp","CLOSED","DUPLICATE","2002-02-13 11:21:28",,,"Components",119631,,"All","perf",,3,"2002-02-13 09:49:34","Windows 2000","P2","dp","Suresh Duddi (gone)","normal","1MB churned by parser","Trunk",0,
9332,"defect","Does not print cyrillic characters","Core","Internationalization","erik","CLOSED","WORKSFORME","2005-03-17 13:34:04",,"11275, 41044","Components",24172,,"x86",,,21,"1997-05-08 07:00:00","Windows NT","P2","serhunt","av (gone)","normal","Does not print cyrillic characters","Trunk",0,
12243,"defect","[IME][IME-Commit][IME-HighLight]DB text input always appended regardless of cursor position","Core","Internationalization","ftang","CLOSED","FIXED","2017-02-03 12:26:13",,16127,"Components",,,"x86","inputmethod",,6,"1999-08-20 15:13:17","Windows NT","P2","blee",,"normal","[IME][IME-Commit][IME-HighLight]DB text input always appended regardless of cursor position","Trunk",0,
17707,"defect","[DOGFOOD][IME] CJK input disabled in location field","Core","Internationalization","ftang","CLOSED","FIXED","2010-06-18 19:00:50",,16127,"Components",,,"x86","inputmethod",,5,"1999-11-01 15:00:05","Windows NT","P2","blee",,"normal","[DOGFOOD][IME] CJK input disabled in location field","Trunk",0,"[PDT+]"
2403,"defect","[PP]www.intel.com does not display correctly and crashes sometimes","Core","Networking","gagan","CLOSED","INVALID","2007-04-06 22:31:16",,,"Components",,,"x86",,,5,"1999-01-14 17:12:32","Windows 95","P2","rubydoo123",,"normal","[PP]www.intel.com does not display correctly and crashes sometimes","Trunk",0,
61842,"defect","Performance degradation: HTML parsing of comments/scripts","Core","DOM: Core & HTML","harishd","CLOSED","DUPLICATE","2007-12-10 06:46:07",,"23187, 29805","Components",,,"x86","perf, testcase",,9,"2000-12-02 19:49:23","Windows 95","P2","bht237",,"critical","Performance degradation: HTML parsing of comments/scripts","Trunk",0,
3324,"defect","""view source"" on XUL file causes assertion failure","Core","DOM: Core & HTML","hyatt","CLOSED","WONTFIX","2019-03-13 06:42:05",,,"Components",3915,,"x86",,,11,"1999-02-26 14:42:20","Windows NT","P2","law","Bill Law","normal","""view source"" on XUL file causes assertion failure","Trunk",0,
3647,"defect","[BLOCK] Tree View hopelessly horked with certain types of style selectors","Core","XUL","hyatt","CLOSED","INVALID","2008-07-31 02:44:50",,,"Components",,,"x86",,,5,"1999-03-11 16:39:15","Other","P2","hyatt","David Hyatt","normal","[BLOCK] Tree View hopelessly horked with certain types of style selectors","Trunk",0,
156327,"defect","HTMLSelectElement.value returns empty string when  ""multiple"" attribute  is present","Core","DOM: Core & HTML","john","CLOSED","INVALID","2008-07-31 02:33:05",,,"Components",,,"x86",,,7,"2002-07-08 13:28:32","All","P2","stummala","Sivakiran Tummala","normal","HTMLSelectElement.value returns empty string when  ""multiple"" attribute  is present","Trunk",0,
2580,"defect","window.open","Core","JavaScript Engine","joki","CLOSED","DUPLICATE","2002-01-18 00:39:55",,,"Components",,,"x86",,,10,"1999-01-22 19:15:01","Windows 95","P2","aldmar",,"normal","window.open","Trunk",0,
2673,"defect","Slow page loading (not due to slow connection)","Core","DOM: UI Events & Focus Handling","joki","CLOSED","WORKSFORME","2019-03-13 06:46:04",,,"Components",,,"x86",,,5,"1999-01-26 17:27:53","Windows 98","P2","mdatt",,"normal","Slow page loading (not due to slow connection)","Trunk",0,
4061,"defect","Events on Select[Menu] does not work properly.","Core","DOM: UI Events & Focus Handling","joki","CLOSED","DUPLICATE","2019-03-13 06:46:04",,,"Components",,,"x86",,,8,"1999-03-19 15:08:57","Windows 95","P2","desale","Prashant Desale","major","Events on Select[Menu] does not work properly.","Trunk",0,
4067,"defect","Using space-bar key on keyboard, check box can not be checked or unchecked.","Core","DOM: UI Events & Focus Handling","joki","CLOSED","DUPLICATE","2019-03-13 06:46:04",,,"Components",,,"x86",,,5,"1999-03-19 15:50:33","Windows 95","P2","desale","Prashant Desale","major","Using space-bar key on keyboard, check box can not be checked or unchecked.","Trunk",0,
